id|job_title|location|salary_currency|career_level|experience_level|education_level|employment_type|job_function|job_benefits|company_process_time|company_size|company_industry|job_description
33905|Visual Designer|Surabaya|IDR|Pegawai (non-manajemen & non-supervisor)||Sarjana (S1)|Penuh Waktu|Seni/Media/Komunikasi,Seni / Desain Kreatif|Waktu regular, Senin - Jumat;Kasual (contoh: Kaos)|13 days|51 - 200 pekerja|Retail/Merchandise|Always learn quickly about how the trend develop in the market and applied to the brandCreate visual content for social media platforms, website, marketplace, and advertising media purpose.Responsible to make every published visual content outstanding in the market and correspond to the brand identity.Collaborate across divisions for visual and graphic design purpose.Responsible for making great result in creative production such as photo and video for advertising or product detail purpose.Create artwork that can be applied to products.Requirements :Maximum 30 years old.Bachelor degree or above in graphic design, communication and visual design, or similar specialty area.Graduated from reputable university with minimum GPA 3.0Fresh graduate are welcomedThinker, honest, and hard workingHave a characteristic tend to grow and learnAbility to work under pressure (tight deadline)Ability to work in a small or big teamHave a great skills to operate fluently in design programs such as Adobe photoshop, Illustrator, and corel draw.Photography or videography skills is a strong added value.Have a great and outstanding style of design.Creative minded is a must.
33906|Sales Executive (Palembang)|Palembang|IDR|Pegawai (non-manajemen & non-supervisor)|1 tahun|SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)|Penuh Waktu|Penjualan / Pemasaran,Penjualan - Korporasi|Asuransi kesehatan;Bisnis (contoh: Kemeja);Monday - Saturday|28 days|501 - 1000 pekerja|Elektrikal & Elektronik|Pendidikan mininal SMU, lebih menyukai yang Diploma dan S1.Lebih menyukai yang memiliki pengalaman di bidang grosir dan retail alat-alat listrik.Mempunyai kemampuan untuk melakukan pendekatan dan negosiasi ke customer.Mempunyai jiwa salesmanship.Komunikatif, jujur, rajin, ulet, pantang menyerah, dan bertanggung jawab.Target oriented.Memiliki SIM dan kendaraan sendiri.
33907|Sales Motoris|Jakarta Raya|IDR|Pegawai (non-manajemen & non-supervisor)|2 tahun|SMA, SMU/SMK/STM|Penuh Waktu|Penjualan / Pemasaran,Penjualan Ritel|Tip;Asuransi kesehatan;Parkir;Kasual (contoh: Kaos)|21 days|1- 50 pekerja|Makanan & Minuman/Katering/Restoran|Kualifikasi:Pendidikan minimal SMAMemiliki pengalaman minimal 2 tahun sebagai sales motoris / canvassing / merchandiserCekatan, disiplin, komunikatif, dan semangat tinggiMemiliki Motor dan SIM CMengetahui wilayah Jakarta, Tangerang dan sekitarnyaTanggung JawabMelakukan Proses Spreading/Canvassing di area penjualanMencari outlet baru dan repeat orderMencapai omset dan kunjungan harianBenefitBPJS Kesehatan dan KetenagakerjaanInsentif sesuai kinerja
33908|Mechanical & Electrical Staff|Cibinong|IDR|Pegawai (non-manajemen & non-supervisor)|2 tahun|Tidak terspesifikasi|Penuh Waktu|Teknik,Teknik Elektro|Tip;Bisnis (contoh: Kemeja)|18 days|201 - 500 pekerja|Konsultasi (Bisnis & Manajemen)|Melakukan pengecekan, perawatan dan perbaikan alat-alat elektronik atau alat-alat listrik seperti panel listrik, lampu, dll. secara berkala agar berfungsi secara optimal.Melakukan perawatan dan perbaikan ringan atas unit Air Conditioner (AC) central/ split, dan Exhaust Fan agar tetap bekerja secara optimalMembuat jadwal & pelaksanaan preventive maintenance ACPersyaratan :Lulusan minimal STM kelistrikanPengalaman minimal 2 tahun dibidang kelistrikan dan ACMemahami prinsip dasar electric dan mechanicalMenguasai perawatan dan perbaikan seperti kelistrikan arus kuat/ arus lemah, sipil - dasar-dasar teknik bangunan, dan mesin-mesin pendinginPenempatan Cibinong, Jawa Barat
33909|CUSTOMER SERVICE|Jakarta Timur|IDR|Pegawai (non-manajemen & non-supervisor)|1 tahun|Sertifikat Professional, D3 (Diploma), D4 (Diploma)|Penuh Waktu|Pelayanan,Layanan Pelanggan||||Transportasi/Logistik|Dapat berkomunikasi baik dengan klien diutamakan yang dapat berbahasa Inggris,bertanggung jawab penuh terhadap pekerjaannya,Dengan Usia maksimal 30 TahunBerpengalaman minimal 1 TahunSecara Garis Besar posisi ini akan berkomunikasi secara langsung dengan klien sehingga kandidat diharapkan sudah berpengalaman dibidangnya minimal 1 tahun, dapat berkomunikasi dengan bahasa Inggris, dengan usia Maksimal 30 tahun.untuk tugas dan tanggung jawab akan berada dibawah Manager Supply Chain
33910|Direktur Operation (COO)|Sumatera Utara|IDR|CEO/GM/Direktur/Manajer Senior|1 tahun|SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)|Penuh Waktu|Sumber Daya Manusia/Personalia,Top Management / Manajemen Tingkat Atas|||1- 50 pekerja|Makanan & Minuman/Katering/Restoran|# must have good experiences in above field# have held same title and similar role# understand.how start up fnb works# excellent team worker and good decision making# work place in Medan and must attend Online also Offline interview# multi task person with good attitude# experiences in online also offline businesses# do not apply again if you have previously done so# must be able to demonstrate excellent communication skills
33911|MARKETING MANAGER|Cikupa|IDR|Pegawai (non-manajemen & non-supervisor)||Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)|Penuh Waktu|Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis||||Manufaktur/Produksi|Jobdesc:Melakukan penjualan produk kosmetikMenjalin kerjasama dengan pihak terkaitMembuka jaringan pemasaran produk ke mitra maupun masyarakat luasKualifikasi:Pendidikan minimal S1 semua jurusanMemiliki kemampuan komunikasi yang baikMemiliki pengetahuan dan minat dalam bidang kosmetikDapat mengoperasikan Ms. OfficeDiutamakan yang berpengalaman
33912|Sales Executive|Prabumulih|IDR|Pegawai (non-manajemen & non-supervisor)|1 tahun|SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)|Penuh Waktu|Penjualan / Pemasaran,Penjualan Ritel|Asuransi kesehatan;Waktu regular, Senin - Jumat;Kasual (contoh: Kaos)|16 days|201 - 500 pekerja|Perbankan/Pelayanan Keuangan|Tentang majoomajoo Teknologi Indonesia adalah salah satu perusahaan yang bergerak di bidang aplikasi wirausaha lengkap mulai dari pengelolaan penjualan,pelanggan, pembayaran, inventori, keuangan, karyawan sampai dengan pembiayaan usaha. Saat ini majoo sedang mencari Sales Executive untuk ditempatkan di Prabumulih dengan kualifikasi dan deskripsi pekerjaan sebagai berikut.Deskripsi PekerjaanMengumpulkan daftar merchant potensialMeningkatkan penjualan secara efektif (direct selling/ meeting)Melakukan demonstrasi produk berdasarkan kebutuhan merchant (edukasi dan instalasi aplikasi Majoo)Berkoordinasi dengan atasan dan divisi terkait (terkait pembayaran)Penempatan PrabumulihKualifikasiPendidikan minimal SMA atau sederajatMemiliki pengalaman kerja di bidang sales minimal 1 tahunUsia maksimal 35 tahunMemiliki kendaraan pribadi dan SIM-C (minimal)Aktif dalam komunitas atau organisasi akan menjadi nilai tambahKomunikatif, bisa bekerjasama dalam tim, dan menyukai bekerja di lapanganMempunyai smartphone android dan aktif dalam bersosial mediaKompensasi dan BenefitBPJS Kesehatan dan KetenagakerjaanInsentifJam kerja yang fleksibelFasilitasTools Kit (Tablet, brosur, bluetooth printer, dan lanyard)
33913|Management Trainee Accounting - Placement in Central Kalimantan Site|Kalimantan Tengah|IDR|Lulusan baru/Pengalaman kerja kurang dari 1 tahun||Sarjana (S1)|Penuh Waktu|Akuntansi / Keuangan,Akuntansi Umum / Pembiayaan|Asuransi Gigi;Tip;Asuransi kesehatan;Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja);bonus|12 days|1001 - 2000 pekerja|Agrikultural/Perkebunan/Peternakan Unggas/Perikanan|Requirement:Candidate must possess at least Bachelor's Degree in Finance/Accountancy/Banking or equivalent with minimum GPA 3.2Fresh Graduate are welcomeAble to speak in EnglishWilling to be placed in Central Kalimantan (Site area)Willing to work in Oil Palm Plantation Company
33914|STAFF GUDANG|Jakarta Barat|IDR|Pegawai (non-manajemen & non-supervisor)|5 tahun|SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)|Penuh Waktu|Manufaktur,Pembelian/Manajemen Material|Asuransi kesehatan;Waktu regular, Senin - Jumat;Formal from Mon-Thurs  & casual on Friday||51 - 200 pekerja|Telekomunikasi|Kualifikasi :Usia maksium 30 tahunPengalaman dibidangnya minimal 5 tahunFamiliar menggunakan MIcrosoft office, seperti word dan excel.Cekatan, rajin, jujur dan bertanggung jawabDapat bekerjasama dengan teamMemiliki kesehatan dan fisik yang primaMemiliki kemampuan berkomunikasi yang baikDiutamakan yang sudah paham/memiliki pengetahuan tentang barang telekomunikasi dan elektrikalDeskripsi pekerjaan:Posisi merangkap sebagai operator dan admin gudangMelakukan packing barang dan bongkar muat barangMencatat stock gudang/keluar masuk barang dengan teliti dan rapiMelakukan pengecekan barang di gudangMenyiapkan pesananMembuat laporan stock secara berkalaBerkoordinasi dengan team dan divisi lain
33915|Sales Support Stationery - Jakarta|Jakarta Pusat|IDR|Pegawai (non-manajemen & non-supervisor)|3 tahun|Tidak terspesifikasi|Penuh Waktu|Lainnya,Lainnya/Kategori tidak tersedia|Asuransi kesehatan;Waktu regular, Senin - Jumat;Company Uniform|27 days|Lebih dari 5000 pekerja|Manufaktur/Produksi|Responsbility:Will help the sales team in proceeding the orderCollaborate with other department relatedTime managementWill in charge for export documentationOperate SAP systemManage after sales processRequirments:Hold Bachelor's degreeProficient in operating Microsoft Office (excel; pivot, power point presentation)Must be good in interpersonal skillProficient in English Speaking, Reading and WritingHas Sales Support role would be an advantageWilling to be placed in Jakarta, Thamrin
33916|Staff Sales & Marketing (Pest Control & Termite Control-Fumigasi)|Cilegon|IDR|Pegawai (non-manajemen & non-supervisor)|1 tahun|Sertifikat Professional, D3 (Diploma), D4 (Diploma)|Kontrak|Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis||||Agrikultural/Perkebunan/Peternakan Unggas/Perikanan|Persyaratan:Minimal D3 (Kesehatan Lingkungan Dan Sejenis)Minimal Pengalaman 1 Tahun Di Bidang Pest & Termite Control dan FumigasiSehat Jasmani dan RohaniDomisili Cilegon (Diutamakan)Mampu Menggunakan Aplikasi Ms Office (Ms. Word, Excel, Powerpoint)Memiliki Kemampuan Design (Lebih Disukai)Tugas dan Tanggung Jawab:Melakukan Riset Market, Mendata Customer, Follow Up Customer.Membuat Progress Market, Mencatat Penjualan.Design Poster Di Sosmed, Closing Order
33917|Accounting Assistant Manager|Banten|IDR|Supervisor/Koordinator|2 tahun|Tidak terspesifikasi|Penuh Waktu|Akuntansi / Keuangan,Akuntansi Umum / Pembiayaan|Asuransi kesehatan;Bisnis (contoh: Kemeja);BPJS, Dormitory||2001 - 5000 pekerja|Manufaktur/Produksi|Immediately requirement,Accounting Assistant ManagerQualifications:Maximum age 40 years old.Minimum education D3 or Bachelor (preferable) Degree in Finance/Accountancy/Banking or equivalent.2 Years Work Experience in Accounting and Taxation from Manufacturing Company.Have knowledge in Company SOP and Internal Audit.Proficient in using Microsoft Office programs, especially Advanced Ms Excel and Ms Word.Able to lead and supervise the work team.Meticulous and with a keen eye for detailsHonest, accountable, diligent & organized, loyal.Placement in Cikande, Kabupaten Serang, BantenJob Description :Responsible for the completeness of supporting data for accounting and taxation transactionsAssist in the preparation of financial reports and management reportsAssist with monthly and annual tax reportsAssist in the coordination of the annual auditOversee the calculation of monthly payrollResponsible for the administration of company documentsFacilities:Tunjangan BPJS, Company Dormitory, etc.
33918|Mandarin translator(manager assistant)|Jakarta Utara|IDR|Manajer/Asisten Manajer|1 tahun|Tidak terspesifikasi|Penuh Waktu|Sumber Daya Manusia/Personalia,Sekretaris|Tip;casual dan sopan||1- 50 pekerja|Umum & Grosir|Deskripsi pekerjaan:1. Membantu menerjemahkan manajer dan karyawan lokal berkomunikasi2. Menerjemahkan dokumen dari Bahasa Mandarin ke Bahasa Indonesia3. Membantu urusan administratif kantor4. Mengatur weekly report, mencatat dan menerjemahkan meeting kantor5. Mengatur urusan perekrutan karyawan6. Membantu menyelesaikan tugas lain yang diberikan atasan.Persyaratan:1. Lulusan S1 atau di atasnya, lancar berbahasa mandarin (mendengar, bicara dan membaca)2. Memiliki pengalaman 1 tahun di bidangnya3. Handal menggunakan Microsoft office4. Memiliki kemampuan komunikasi yang baik5. Memiliki pengalaman memimpin sebuah tim
33919|Admin Customer Service Staff Marketplace / E-commerce|Jakarta Pusat|IDR|Pegawai (non-manajemen & non-supervisor)|2 tahun|SMA, SMU/SMK/STM|Penuh Waktu|Pelayanan,Layanan Pelanggan|Asuransi kesehatan;Kasual (contoh: Kaos);Monday-Saturday|4 days|1- 50 pekerja|Umum & Grosir|Persyaratan :- HARUS Minimum pengalaman Online Sales / Sales Marketplace / Admin Social Media 2 tahun- Minimum SMA/SMK di bidang Administrasi / Pemasaran- Mahir menggunakan marketplace Tokopedia, Shopee, Blibli, Lazada, Bukalapak- Usia Maksimal 25 Tahun- Memiliki skill komunikasi persuasif / Mulut manis dan handal dalam menanggapi masalah- Disiplin update produk, harga, quantity dan fitur marketplace- Sabar, Extrovert, dan Proaktif adalah keharusan- Mahir menggunakan Social Media seperti tiktok, instagram, dan twitter- Fast Typer dengan kemampuan mengetik minimum 50 kata / menit (bisa di test online terlebih dahulu)- Memiliki skill basic Photoshop- Basic Ms Office- KAMI TIDAK AKAN MENERIMA KANDIDAT YANG TIDAK MEMILIKI PENGALAMAN DI BIDANG ONLINE SALES / SHOP- Memiliki SKCK yang aktif- Bersedia bekerja shift malam- Monday to Saturday (08:00-18:00)- Overtime is common herePekerjaan :- Membuat dan mengembangkan toko baru berdasarkan produk yang sudah ada- Membalas chat customer- Menanggapi complain customer- Memasarkan produk melalui topads, iklanku, dan social media- Mengumpulkan ulasan untuk produk yang dijual- Update harga produk setiap hari- Aktif memberikan feedback customer kepada atasan- Memberikan ide dan implementasikan ide tersebut guna mengembangkan sales- Mencari reseller baru melalui toko offline maupun toko online- SALES SALES DAN SALES!
33920|TEKNISI SMARTPHONE (Mandarin Speaker)|Tangerang|IDR|Pegawai (non-manajemen & non-supervisor)|1 tahun|Sertifikat Professional, D3 (Diploma), D4 (Diploma)|Penuh Waktu|Teknik,Teknik Elektro|Asuransi kesehatan;Waktu regular, Senin - Jumat;Kasual (contoh: Kaos)|22 days|201 - 500 pekerja|Pelayanan Perbaikan & Pemeliharaan|REQUIREMENTS:Proficient in English is a MUST (Oral and Written), Mandarin is a plusMin DiplomaMaximum 35 years oldExperienced in engineering at least 1 yearPreferred experienced in smartphone fieldUnderstand equipment testing principles and equipment maintenanceSmart, good communication, and responsibleCan work under pressure, overtimePlacement in Tangerang
33921|Desk Collection|Surabaya|IDR|Lulusan baru/Pengalaman kerja kurang dari 1 tahun|1 tahun|Tidak terspesifikasi|Kontrak|Akuntansi / Keuangan,Perbankan / Jasa Finansial |Asuransi kesehatan;Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja)|28 days|51 - 200 pekerja|Manajemen/Konsulting HR|Persyaratan :Pendidikan minimal SMKPengalaman di posisi Desk Collection minimal 1 tahunDapat bekerja secara teamDapat berkomunikasi dengan baikKeterampilan negosiasi yang baikMampu bekerja dibawah tekananBerorientasi pada targetPenempatan : Bandung dan Surabaya
33922|SALESMAN|Pontianak|IDR|Pegawai (non-manajemen & non-supervisor)|1 tahun|SMA, SMU/SMK/STM|Kontrak|Penjualan / Pemasaran,Penjualan Ritel|Tunjangan Pendidikan;Tip;Formal (Seragam+Celana Kain + Sepatu kerja;Monday-Saturday||51 - 200 pekerja|Automobil/Mesin Tambahan Automotif/Kendaraan|Deskripsi Pekerjaan :Mengunjungi Toko - Toko dan Outlet, dan Memberikan informasi mengenai produk.Menjaga hubungan baik dengan semua outlet rekanan.Membuat laporan harian ke atasan mengenai kegiatan harian.Kualifikasi :Kandidat minimal lulusan SMA/SMK/SederajatMemiliki SIM C dan Kendaraan pribadiUsia maksimal 35 tahunBersedia ditempatkan sesuai dengan kebutuhanBersedia bekerja di bawah tekanan dan target.Memiliki pengalaman kerja sebagai Salesman minimal 1 tahunBersedia dinas keluar kotaMemiliki SKCK & Ijasah asliFasih berbahasa Tio Ciu/ Khek (Pontianak)Sudah Vaksin 1 & 2 Covid 19
33923|DOCTOR ONSITE|Jakarta Raya|IDR|Lulusan baru/Pengalaman kerja kurang dari 1 tahun||Sarjana (S1)|Penuh Waktu|Layanan Kesehatan,Diagnosa/Lainnya|Asuransi kesehatan;Waktu regular, Senin - Jumat;Uniforms|17 days|1- 50 pekerja|Kesehatan/Medis|KUALIFIKASI :Pendidikan minimal S1 Profesi DokterFresh graduate dipersilahkan untuk applyMemiliki STR yang aktif berlakuMemiliki sertifikasi ACLS /ATLSMemiliki sertifikat HiperkesBersedia ditempatkan dimana sajaJOB DESKRIPSIBertanggung jawab atas Layanan Kesehatan di lokasi   Memberikan pelayanan kesehatan primer, termasuk first response   Mengatur rujukan rumah sakit dan evakuasi medis ke rumah sakit terdekat (RSUD), dalam koordinasi HSE Officer   menilai bahaya dan risiko pekerjaan dari segi kesehatan di sekitar lokasi proyekMelakukan inspeksi akomodasi, produksi makanan (dapur) dan inspeksi kebersihan fasilitas kantin   Mendukung dan berpartisipasi dalam program HSE termasuk HSE Induction, Emergency Response Team (ERT), Safety site, Medical Evacuation
33924|Site Engineer (Architect / Civil)|Jakarta Raya|IDR|Supervisor/Koordinator|3 tahun|Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)|Penuh Waktu|Bangunan/Konstruksi,Teknik Sipil/Konstruksi Bangunan|Bisnis (contoh: Kemeja);Mondays-Saturdays||201 - 500 pekerja|Konstruksi/Bangunan/Teknik|ResponsibilitiesCoordinate with clients and reporting progress, professional staff such as architecs and surveyors and subcontractor.Meeting with subcontractorsMaking safety inspections and ensuring construction and site safetyChecking and preparing site reports, design and drawingsMaintaining quality control proceduresMotivating the workforceProblem SolvingUsing specialist construction management computer applicationsEnsure that all projects are delivered on time, within scope and within budgetRequirementsCandidate must possess at least Bachelor's Degree in Architecture, Civil Engineering or equivalent.Required language(s): Bahasa Indonesia, EnglishAt least 3 Year(s) of working experience in the related field is required for this position preferably in High-end Residential.Required Skill(s): CAD, Microsoft Office, SketchUpPreferably Staff (non-management & non-supervisor) specialized in Architecture/Interior Design, Civil Engineer or equivalent.Positive attitude, responsible, honest, energetic, organized person and good team playerApplicants must be below 35 years old.
33925|AREA SALES MANAGER, KALIMANTAN|Kalimantan Barat|IDR|Manajer/Asisten Manajer|3 tahun|Sarjana (S1)|Penuh Waktu|Penjualan / Pemasaran,Telesales/Telemarketing|Asuransi kesehatan;Bisnis (contoh: Kemeja)|26 days|501 - 1000 pekerja|Manufaktur/Produksi|TANGGUNG JAWAB Merencanakan dan mengembangan strategi penjualan dan pemasaran yang inovatif dan up to date untuk perkiraan penjualan Mengembangan penjualan melalui distributor baru Menjalin hubungan baik dan mengatasi hambatan penjualan dengan distributorMenetapkan target penjualanBertanggung jawab atas pencapaian target penjualan di areanyaMemastikan proses kerja tim sales yang efektif dan efisienMelakukan pengawasan dan evaluasi dalam kompetensi, kinerja, dan sikap tim sales Memberikan pengarahan dan pengembangan untuk meningkatkan keterampilan tim salesTUGAS UTAMA Mengkoordinir tim sales agar dapat meningkatkan penjualan sesuai target Mengelola, melatih dan mendorong tim sales untuk meningkatkan penjualan di areanya Monitoring kinerja tim sales yang berada di areanya Membantu mengatasi permasalahan tim sales di lapangan Memberikan usulan promosi yang tepat sasaran ke atasan Menentukan pemberian diskon produk kepada tim sales dengan persetujuan dari atasanMonitoring distributor bekerja dengan optimal Mengembangkan dan mengelola jaringan distribusi yang efisien  Memastikan barang penjualan terkirim ke customer tepat waktu dan kualitas terjamin Melakukan pendampingan dalam menangani keluhan dan memastikan kepuasaan customer atas keluhan yang disampaikanMembantu bertindak atas piutang customer yang sulit ditagih dan piutang yang macetMelakukan analisa data penjualan untuk memprediksi tren penjualan yang dilaporkan ke atasanMencari informasi/survey pasar tentang posisi produk serta melaporkan ke atasan minimal 1 minggu sekaliMembuat rencana dan laporan atas kunjungan ke customer kepada atasanMemberikan laporan penjualan tim sales secara mingguan, bulanan, tahunanKUALIFIKASI S1 Semua Jurusan, diutamakan Jurusan Manajemen Usia maksimal 40 TahunMemiliki SIM C dan SIM APengalaman minimal 3 Tahun, diutamakan dalam bidang FMCGBerpenampilan Menarik, Kemampuan Komunikasi Baik, Mampu Bernegosiasi, Jujur, Teliti, Proaktif, Loyal, Berintegritas, Tanggung Jawab, Disiplin  Penggunaan Bahasa : Indonesia, Inggris dan Mandarin Bersedia untuk Mobilitas Tinggi Memiliki Koneksi dengan Distributor/Agent/Grosir/Horeka Memiliki Koneksi dengan Kanvaser, Motoris, dllMampu Mengoperasikan Komputer dan Memiliki Laptop Memiliki pemahaman area Kalimantan
33926|Secretary|Jakarta Raya|IDR|Pegawai (non-manajemen & non-supervisor)|2 tahun|Sarjana (S1)|Penuh Waktu|Sumber Daya Manusia/Personalia,Sekretaris|Asuransi Gigi;Tip;Asuransi kesehatan;Waktu regular, Senin - Jumat;Smart Casual ( bisa menggunakan jeans)|29 days|1- 50 pekerja|Kesehatan/Medis|Tugas & Tanggung Jawab :- Menyusun agenda kegiatan dan pertemuan- Menyiapkan, membuat, menyusun laporan dan menangani korespondensi (surat-menyurat)- Melakukan aktivitas kesekretariatan serta membuat notulen meeting dan berkoordinasi dengan divisi lain dengan benar dan tepat waktu- Menerima dan mendistribusikan dokumen masuk dan keluar-Melakukan tugas administratif, termasuk pengarsipan dan fotokopiKualifikasi:- Pendidikan min. D3 Sekretaris, Administrasi Perkantoran- Pengalaman min. 2 tahun- Memiliki kemampuan berkomunikasi yang baik- Memahami bahasa Inggris baik secara lisan maupun tulisan- Menguasai Microsoft Office
33927|ADMIN PURCHASING|Tangerang|IDR|Pegawai (non-manajemen & non-supervisor)|1 tahun|Sertifikat Professional, D3 (Diploma), D4 (Diploma)|Penuh Waktu|Manufaktur,Pembelian/Manajemen Material||||Makanan & Minuman/Katering/Restoran|Tugas dan Tanggungjawab Mencari supplier potensial Membandingkan dan mengevaluasi penawaran dengan supplier Melacak pemesanan material dan memastikan material datang tepat waktu Memastikan barang/material sesuai dengan permintaan Memastikan pesanan, informasi pengiriman dan faktur pembelian diperbarukan secara berkala PersyaratanPendidikan minimal SMA/SMK/D3 segala jurusan Pengalaman minimal 1 tahun di bagian purchasing atau admin purchasing Menguasai Microsoft Excel dan data management Memiliki pengalaman mengoperasikan software accurate Memiliki kemampuan administrasi dan perhatian pada detil yang baik Memiliki kemampuan komunikasi dan negosiasi yang baik
33928|Sales Motoris|Jakarta Raya|IDR|Lulusan baru/Pengalaman kerja kurang dari 1 tahun||SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)|Kontrak|Penjualan / Pemasaran,Penjualan Ritel|Parkir;Kasual (contoh: Kaos);BPJS Ketenagakerjaan;Senin-Sabtu|28 days|51 - 200 pekerja|Periklanan/Marketing/Promosi/Hubungan Masyarakat|Kualifikasi:Pendidikan minimal SMAMemiliki pengalaman salesMemiliki kendaraan pribadi dan SIMMemiliki HP AndroidTugas dan Tanggung JawabMelakukan kunjungan dan mencari outlet dengan target transaksiMelakukan kegiatan sales di areaMenjalankan program promo yang adaMenjaga nilai setoran sesuai dengan hasil penjualan
33929|Sales Executive|Jakarta Raya|IDR|Pegawai (non-manajemen & non-supervisor)|3 tahun|SMA, SMU/SMK/STM|Penuh Waktu|Penjualan / Pemasaran,Penjualan Ritel|Tip;Asuransi kesehatan;Parkir;Bisnis (contoh: Kemeja)|27 days|51 - 200 pekerja|Elektrikal & Elektronik|Anda seorang yang ahli dalam Penjualan dan ingin membangun karir di Perusahaan Lighting & Electrical Products Terbesar dan Tersebar di Asia Tenggara?Anda memiliki komunikasi yang baik dan berpengalaman dalam menjual produk retail ?  Jadilah SALES EXECUTIVE di PT Mitra Amertha Sejahtera, hanya jika Anda :Memiliki kemampuan dalam hal penjualan (sales)Terbiasa menghadapi konsumen dalam perdagangan retailMampu berkomunikasi dengan baik dan persuasifPT. Mitra Amertha Sejahtera adalah perusahaan Principle dari merek MEVAL, a Regional Brand for Quality Lighting and Electrical Products:Sebagai Exclusive Distributor dari produk Electrical Lighting dengan kualitas dan merek GlobalBerkantor pusat di Singapore dengan wilayah operasional di Philiphines, Indonesia dan VietnamMemiliki Visi : We light up more worlds by providing more affordable durable lighting power solutionsMemiliki Value: Customer Satisfaction, Integrity, Continuous Improvement, Flexibility dan Commitment Tugas & Tanggung Jawab :Memperkenalkan brand & produk MEVAL dan melakukan penetrasi pasarMencapai target yang ditentukan perusahaanMenjalin dan mengelola hubungan yang baik dengan outletMencari outlet baru yang dapat bekerja sama dengan MEVALMemperluas jaringan pasar dan memberikan pelayanan terbaik terhadap konsumen Kualifikasi :Memiliki minimum pendidikan SMA/sederajatMemiliki kemampuan komunikasi yang baik; Persuasif, NegosiasiMemiliki pengalaman selama 3 tahun di bidang sales, terutama di industri Elektrikal/FMCG/Retail/Building Material lebih disukaiPribadi yang energik, inisiatif, pekerja keras, jujur dan bertanggung jawabBerorientasi terhadap target dan hasilDapat bergabung secepatnyaFasilitas :Attractive Remuneration packageCareer DevelopmentBPJS TK dan KesehatanInsentif bulanan berdasarkan target achievementOpportunity to grow. Hanya Jika Anda memenuhi kriteria, ACTION sekarang juga sebelum 20 Februari 2022! NB: Cantumkan spesifik domisili dan NO HP / WA pada CV Anda
33930|Chief Financial Officer (CFO) - FMCG's company|Jakarta Timur|IDR|CEO/GM/Direktur/Manajer Senior|10 tahun|Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2)|Penuh Waktu|Akuntansi / Keuangan,Audit & Pajak|||||Job Description :Oversees the Finance Operations, Corporate Finance and Corporate StrategyHandles the Financial Reporting Company's Cash flow, Financial Planning,and Tax IssuesWork closely with the Regulators to submit the weekly, monthly, and yearly report as requiredProvide strategic initiative and collaborate with the other C-level and foundersProviding leadership, direction and management of the finance and accounting teamAdvising on long-term business and financial planningEstablishing and developing relations with senior management and external partners and stakeholdersReviewing all formal finance, procurement and supply chain, business, and IT related proceduresThe Successful Applicant :An MBA or CPA is also highly desirableBachelor's degree in Finance and or any related fieldMinimum of 10+ years of working experience in FMCG's industryCapital Markets background would be a plusGood English and Bahasa Indonesia communication skillsAble to work in a fast paced working environmentHas strong connections with Local and Multinational investors
33931|Supervisor Admin Logistik|Jakarta Utara|IDR|Pegawai (non-manajemen & non-supervisor)|2 tahun|SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma)|Kontrak|Pelayanan,Logistik/Rantai Pasokan|Asuransi kesehatan;Parkir;Bisnis (contoh: Kemeja)|26 days|51 - 200 pekerja|Manufaktur/Produksi|Deskripsi Pekerjaan Kepala Logistik : Pendidikan minimal D3Memiliki pengalaman kerja di posisi yang sama/ pergudangan minimal 2 tahunMemiliki kemampuan kepemimpinan dan komunikasi yang baikMemiliki pemahaman mengenai manajemen logistik dan pergudanganMampu menggunakan microsoft office excel dan program ERP Mampu bekerja dengan targetMampu mengatur jadwal pengiriman dengan baikBersedia bekerja Shift
